dates,PCE,PCEcore,CPI,GDPD,PCEtrim,CPItrim,CPImedian,CPIsticky,CPIcoresticky,SPFcpi10Y,SPFcpi1Y,SPFpce1Y,SPFgdpd1Y
730760,1.63361921448839,1.68868068850117,2.07194296078477,NaN,2.39118200463129,2.11014363430252,2.66523813821506,2.62571324944546,2.88890294501268,NaN,NaN,NaN,NaN
730791,1.67710650241801,2.11490284411866,2.0683716697981,NaN,2.42046886968174,2.01550643419451,2.61722393510941,2.57752982529708,2.84087567266181,2.5,2.63981478691375,2.63981478691375,2.23435096229183
730821,1.84211397143983,1.16677650285446,2.75229478451884,2.16628649078849,2.46926125903714,3.23443716267344,3.24329303300786,3.32230071859646,2.94018996417132,NaN,NaN,NaN,NaN
730852,5.79711272359873,4.46461428182268,6.85324535461795,NaN,2.48877155077789,3.92836302876274,3.99558066727232,3.38322226773019,2.84868016405741,NaN,NaN,NaN,NaN
730883,1.86066484178582,2.11598800908668,2.73037660456197,NaN,2.50827803674632,2.61794236516693,2.79729722190439,3.14304825715445,2.94552289168477,2.5,2.45705125820893,2.45705125820893,2.09957507090452
730911,0.105804777658136,1.24727170567986,0.6816245568114,2.6144546247064,2.46926125903714,2.51616011391291,2.94825527827913,3.12285704113178,2.92790087340593,NaN,NaN,NaN,NaN
730942,2.09905105462482,1.9050879608848,2.04255368463606,NaN,2.557027611153,2.29340707238983,3.0962022007127,3.15571098040437,3.05366162585721,NaN,NaN,NaN,NaN
730972,3.14923239317508,0.278182784415293,6.10688340896601,NaN,2.557027611153,3.205714400835,3.44122111226188,3.12246207026984,3.03772313147541,2.5,2.48145340753531,2.48145340753531,2.04847188305859
731003,2.13496435396934,2.69064966130479,2.70422649653206,2.41178422977519,2.6349775322782,3.11116342682176,3.461203559816,4.36988570753706,3.16130965585777,NaN,NaN,NaN,NaN
731033,-0.405651581709776,3.09263482627102,-2.02759834215165,NaN,2.59601016695316,1.9076828493318,2.40586663980966,3.17177257890878,3.16832982697941,NaN,NaN,NaN,NaN
731064,-0.150276132590577,0.582623272678617,0,NaN,2.61549574768512,2.10056038938125,3.73482192609368,4.12436022831272,3.21138740985367,2.5,2.5667509258487,2.5667509258487,2.06753435859897
731095,-4.0796652121621,-6.81981816716899,4.72574450416303,1.56814810154131,2.49852526939086,2.25028873209044,2.74449927754902,3.4962378503681,3.34251889996625,NaN,NaN,NaN,NaN
731125,4.21491457832417,8.42057512590237,-3.37363168505505,NaN,2.46926125903714,1.78187642087103,4.09891157420046,3.72196194410706,3.43380150450191,NaN,NaN,NaN,NaN
731156,-0.811724946397163,2.42616563374369,-0.675865971118839,NaN,2.43998868235351,2.7951422035904,3.38522074370429,3.86398831505791,3.54855895250266,2.55,2.12702793488683,2.12702793488683,1.722823350668
731186,-1.23367027740713,0.275720290235526,-0.676246847989148,1.24312853971205,2.34235149435881,1.84897478686262,2.44514716352958,2.76449321049084,3.51302306404409,NaN,NaN,NaN,NaN
731217,1.08329056844561,0.696274467712854,2.02759834215165,NaN,2.21528046411333,1.70159297912849,2.72414558838533,3.20035259664642,3.50624622914475,NaN,NaN,NaN,NaN
731248,1.99851034491196,2.27458008303785,2.02417815777487,NaN,2.20549907808313,1.85496557976994,3.32754217559724,2.97806158665401,3.47760589493726,2.5,2.17602950163784,2.17602950163784,1.76748996476253
731276,3.2685720214559,1.43207601694293,3.36606111313102,1.28896714316511,2.19571673520421,2.02628820405993,2.83213517021106,2.2412576813421,3.42095725657093,NaN,NaN,NaN,NaN
731307,5.00551705398671,3.34929598338469,5.36613526967145,NaN,2.1467906615241,2.80591683151229,2.64129090541416,2.94387404765074,3.41840707300813,NaN,NaN,NaN,NaN
731337,0.775107163151034,1.33998537058311,1.33779278069532,NaN,2.08804775793551,1.90169231960125,2.39137575389933,2.96482241014694,3.40464622756332,2.5,2.32270521859421,2.32270521859421,1.90977248214059
731368,1.50406750764134,1.89934929396713,0.668337527719487,1.38386988802459,1.99006617063362,1.02795958983622,2.47173264203121,2.17431296103126,3.19948123697814,NaN,NaN,NaN,NaN
731398,2.64615263133479,2.42736250815661,2.66963402653317,NaN,2.00967016991224,2.60237614183271,2.22022481677192,3.25116781479082,3.22164171670626,NaN,NaN,NaN,NaN
731429,2.35877414786607,2.36518242477679,3.32871225927072,NaN,1.98026272961797,2.64188972800332,2.2599905145693,2.72123619702403,3.1079944717483,2.5,2.26165503379951,2.26165503379951,1.87589243560193
731460,2.16184259254177,1.96028207736312,1.99280422216859,1.92152510545149,2.04886664273156,1.86455064673193,2.68152158125249,2.17353437280269,2.99224749395631,NaN,NaN,NaN,NaN
731490,2.17272209968975,1.0146541908199,2.65193478096322,NaN,2.05866336083883,2.09576887767552,2.28753826750243,2.7551906298225,2.90513774068305,NaN,NaN,NaN,NaN
731521,1.19553529153293,1.1707875188069,1.98511211523105,NaN,2.0390689647734,2.23352010120447,1.89294619575856,2.6576468733287,2.7947632188324,2.45,2.16391526550195,2.16391526550195,1.90695627203512
731551,1.15013156674877,1.11261686880866,1.98183364616789,2.28979189265885,2.07825391825284,1.73754142378739,2.96812635249312,2.4955153682664,2.76329830221276,NaN,NaN,NaN,NaN
731582,3.57605194591741,0.826662265155065,5.26894370098816,NaN,2.05866336083883,2.11733087831746,2.15793854526114,2.68414383214354,2.74940809085702,NaN,NaN,NaN,NaN
731613,5.05887486814096,1.65161806307808,6.5538120306261,NaN,1.99006617063362,2.3700578729126,1.95656407317566,2.14524133168053,2.66872989533048,2.5,2.10270375104334,2.10270375104334,1.8241790699653
731641,3.06890587900419,1.91928387664717,1.95918410866263,1.98921495229776,1.97045832743354,1.03035755066059,1.11991725994526,1.61506067017792,2.59385404899997,NaN,NaN,NaN,NaN
731672,-2.03044497891796,1.33457970949955,-4.57641524429455,NaN,1.82327682610597,-0.109204970945139,0.551513256385318,1.14009423891093,2.42959397797724,NaN,NaN,NaN,NaN
731702,-1.3750565302086,1.72990376057491,-1.9666762118522,NaN,1.80363624860986,1.08910560555342,1.07004275437385,1.78562681449552,2.32119139702043,2.5,2.07074828558259,2.07074828558259,1.75918828106054
731733,1.28733402569274,0.679934857769382,1.31147554037447,1.37735652267068,1.72503534065277,1.30728769871557,1.11680014234576,1.25039631910535,2.2461344674694,NaN,NaN,NaN,NaN
731763,3.51848611754662,2.98431972396287,3.92584864873768,NaN,1.75451792157489,2.67421800735848,2.63602274222164,2.94622028243553,2.21254959740454,NaN,NaN,NaN,NaN
731794,4.04589608773307,1.35534209732455,5.21456551140176,NaN,1.7839918128331,2.09217512674944,2.33005638399208,1.92569005558424,2.14241922409698,2.5,1.80824184274286,1.80824184274286,1.70795260769498
731825,3.75714290421669,1.67793739774922,3.89610731864458,2.26739300470129,1.73486383346131,1.91367334915714,2.00208892076271,2.33317032768295,2.16073458507584,NaN,NaN,NaN,NaN
731855,0.144827836086492,2.19610112676456,-1.29729742364795,NaN,1.71520588175657,1.41636383614562,2.0742063284033,2.52672199693442,2.13809232884036,NaN,NaN,NaN,NaN
731886,1.51963790215959,1.64444235927732,0.648824022295713,NaN,1.72503534065277,0.619040266501113,1.17938030063131,1.53263284841889,2.01613188410282,2.5,2.10270375104334,2.10270375104334,1.73986026535822
731916,2.64392071654633,1.50192146216988,3.23886836299714,2.45632973793093,1.72503534065277,2.76880313554308,1.78283496866433,2.04771985718952,1.95693942171066,NaN,NaN,NaN,NaN
731947,4.62367260500081,3.06817751950454,5.16407467206399,NaN,1.7938145131013,1.99514048061386,2.19578981870711,2.93260966268453,1.94174835299971,NaN,NaN,NaN,NaN
731978,2.556247974778,1.94332026276278,2.57372752816032,NaN,1.86254641231648,2.7951422035904,2.87104284302457,2.94441272441005,2.0274444404353,2.5,1.61431459413114,1.61431459413114,1.55641178604622
732007,1.84916447923236,2.00991044266203,2.56821927884126,2.8181766205158,1.86254641231648,2.35329105501658,2.69768531226637,2.56351986824888,2.11454615650499,NaN,NaN,NaN,NaN
732038,2.23239904108361,3.11985133602839,1.92256382913278,NaN,2.09784063851918,2.14847556978739,2.50670003224784,2.68356911895514,2.23265111886451,NaN,NaN,NaN,NaN
732068,3.8824822734,1.64023702401543,5.11182881634973,NaN,2.18593343528935,3.19135262277273,3.16681768247932,1.59779180329278,2.21319104478902,2.5,2.10943643889542,2.10943643889542,1.816517999114
732099,3.42952923273998,1.90153469548981,4.45505682742144,3.20070090339861,2.30326991105728,2.78077551086902,2.68846614542891,2.69956519991563,2.35161979591202,NaN,NaN,NaN,NaN
732129,1.10787593978117,1.42763930833922,1.26984138833706,NaN,2.23484036637618,1.43314388966702,1.75563510070842,1.93559810199465,2.23860755534241,NaN,NaN,NaN,NaN
732160,0.624504727448993,0.457039979210805,0.634417144038935,NaN,2.17614917815127,1.2413576658974,2.83273399509786,2.07361934374305,2.23261972759932,2.5,2.27394869694893,2.27394869694893,2.12998659048198
732191,2.35316429421353,2.24112951632343,3.79947546966015,2.56010680556287,2.16636396360264,2.42275265869431,2.12391929343691,2.32399614733576,2.21547706016421,NaN,NaN,NaN,NaN
732221,5.14385422036163,2.60937198338453,6.30584740603055,NaN,2.18593343528935,2.81429724758923,2.6257252232169,2.47496597086551,2.21256074794315,NaN,NaN,NaN,NaN
732252,4.61631053800211,2.57618733817466,5.64706924489471,NaN,2.22506089348197,2.98428622445731,1.46922021280532,2.03079264741074,2.27513451592004,2.5,2.23776478844862,2.23776478844862,1.97945319109545
732282,0.645991823676084,1.54031308753986,0,3.08050351530618,2.244618882983,1.88491881673646,1.89713968815336,2.04002896769492,2.28752148059481,NaN,NaN,NaN,NaN
732313,1.57139706071128,4.30786578704243,-0.626141417806636,NaN,2.34235149435881,2.30897716468551,3.36451904692942,3.07709940035662,2.28948053077537,NaN,NaN,NaN,NaN
